,Outlet,Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
0,@BBCWorld,-0.6597,0.0,0.328,0.672,1
1,@BBCWorld,-0.2023,0.0,0.184,0.816,2
2,@BBCWorld,0.0,0.0,0.0,1.0,3
3,@BBCWorld,-0.4939,0.0,0.198,0.802,4
4,@BBCWorld,0.0516,0.194,0.0,0.806,5
5,@BBCWorld,0.5859,0.322,0.0,0.678,6
6,@BBCWorld,0.1531,0.196,0.152,0.652,7
7,@BBCWorld,0.3182,0.161,0.0,0.839,8
8,@BBCWorld,-0.5106,0.0,0.292,0.708,9
9,@BBCWorld,0.0,0.0,0.0,1.0,10
10,@BBCWorld,0.0,0.0,0.0,1.0,11
11,@BBCWorld,0.0,0.0,0.0,1.0,12
12,@BBCWorld,-0.4404,0.0,0.266,0.734,13
13,@BBCWorld,0.8516,0.32,0.04,0.64,14
14,@BBCWorld,-0.0516,0.0,0.13,0.87,15
15,@BBCWorld,0.5106,0.268,0.0,0.732,16
16,@BBCWorld,0.0,0.0,0.0,1.0,17
17,@BBCWorld,-0.6908,0.0,0.388,0.612,18
18,@BBCWorld,-0.7096,0.0,0.457,0.543,19
19,@BBCWorld,0.34,0.194,0.0,0.806,20
20,@BBCWorld,-0.6597,0.0,0.328,0.672,21
21,@BBCWorld,-0.2023,0.0,0.184,0.816,22
22,@BBCWorld,0.0,0.0,0.0,1.0,23
23,@BBCWorld,-0.4939,0.0,0.198,0.802,24
24,@BBCWorld,0.0516,0.194,0.0,0.806,25
25,@BBCWorld,0.5859,0.322,0.0,0.678,26
26,@BBCWorld,0.1531,0.196,0.152,0.652,27
27,@BBCWorld,0.3182,0.161,0.0,0.839,28
28,@BBCWorld,-0.5106,0.0,0.292,0.708,29
29,@BBCWorld,0.0,0.0,0.0,1.0,30
30,@BBCWorld,0.0,0.0,0.0,1.0,31
31,@BBCWorld,0.0,0.0,0.0,1.0,32
32,@BBCWorld,-0.4404,0.0,0.266,0.734,33
33,@BBCWorld,0.8516,0.32,0.04,0.64,34
34,@BBCWorld,-0.0516,0.0,0.13,0.87,35
35,@BBCWorld,0.5106,0.268,0.0,0.732,36
36,@BBCWorld,0.0,0.0,0.0,1.0,37
37,@BBCWorld,-0.6908,0.0,0.388,0.612,38
38,@BBCWorld,-0.7096,0.0,0.457,0.543,39
39,@BBCWorld,0.34,0.194,0.0,0.806,40
40,@BBCWorld,-0.4767,0.0,0.162,0.838,41
41,@BBCWorld,0.5859,0.167,0.0,0.833,42
42,@BBCWorld,-0.5423,0.0,0.368,0.632,43
43,@BBCWorld,0.0,0.0,0.0,1.0,44
44,@BBCWorld,-0.6486,0.0,0.371,0.629,45
45,@BBCWorld,0.5267,0.236,0.0,0.764,46
46,@BBCWorld,-0.7783,0.0,0.493,0.507,47
47,@BBCWorld,0.2263,0.128,0.0,0.872,48
48,@BBCWorld,-0.4767,0.0,0.307,0.693,49
49,@BBCWorld,0.5859,0.352,0.0,0.648,50
50,@BBCWorld,0.0,0.0,0.0,1.0,51
51,@BBCWorld,-0.5719,0.0,0.252,0.748,52
52,@BBCWorld,0.0,0.0,0.0,1.0,53
53,@BBCWorld,0.2263,0.21,0.153,0.637,54
54,@BBCWorld,-0.2023,0.056,0.086,0.858,55
55,@BBCWorld,-0.3818,0.0,0.245,0.755,56
56,@BBCWorld,-0.875,0.0,0.474,0.526,57
57,@BBCWorld,-0.5574,0.0,0.286,0.714,58
58,@BBCWorld,0.8402,0.529,0.0,0.471,59
59,@BBCWorld,-0.6908,0.0,0.343,0.657,60
60,@BBCWorld,-0.5719,0.0,0.236,0.764,61
61,@BBCWorld,0.128,0.263,0.226,0.511,62
62,@BBCWorld,-0.4588,0.0,0.231,0.769,63
63,@BBCWorld,0.0,0.0,0.0,1.0,64
64,@BBCWorld,0.5859,0.432,0.0,0.568,65
65,@BBCWorld,0.0,0.0,0.0,1.0,66
66,@BBCWorld,-0.5256,0.0,0.274,0.726,67
67,@BBCWorld,-0.2732,0.245,0.324,0.432,68
68,@BBCWorld,0.0,0.0,0.0,1.0,69
69,@BBCWorld,0.0,0.0,0.0,1.0,70
70,@BBCWorld,-0.4585,0.0,0.15,0.85,71
71,@BBCWorld,0.0,0.0,0.0,1.0,72
72,@BBCWorld,-0.7717,0.0,0.218,0.782,73
73,@BBCWorld,0.0,0.0,0.0,1.0,74
74,@BBCWorld,-0.5994,0.0,0.394,0.606,75
75,@BBCWorld,-0.6369,0.057,0.197,0.746,76
76,@BBCWorld,0.0,0.0,0.0,1.0,77
77,@BBCWorld,-0.5719,0.0,0.156,0.844,78
78,@BBCWorld,-0.6597,0.0,0.241,0.759,79
79,@BBCWorld,0.0,0.0,0.0,1.0,80
80,@BBCWorld,0.0,0.0,0.0,1.0,81
81,@BBCWorld,0.0,0.0,0.0,1.0,82
82,@BBCWorld,-0.6249,0.0,0.339,0.661,83
83,@BBCWorld,-0.5423,0.0,0.368,0.632,84
84,@BBCWorld,-0.3182,0.0,0.315,0.685,85
85,@BBCWorld,0.0,0.0,0.0,1.0,86
86,@BBCWorld,0.0,0.0,0.0,1.0,87
87,@BBCWorld,-0.6908,0.0,0.299,0.701,88
88,@BBCWorld,-0.802,0.0,0.255,0.745,89
89,@BBCWorld,0.4588,0.13,0.0,0.87,90
90,@BBCWorld,0.0,0.0,0.0,1.0,91
91,@BBCWorld,-0.2263,0.0,0.174,0.826,92
92,@BBCWorld,0.4019,0.231,0.0,0.769,93
93,@BBCWorld,0.1027,0.106,0.089,0.805,94
94,@BBCWorld,0.0,0.0,0.0,1.0,95
95,@BBCWorld,0.0,0.0,0.0,1.0,96
96,@BBCWorld,-0.4767,0.0,0.307,0.693,97
97,@BBCWorld,-0.296,0.0,0.196,0.804,98
98,@BBCWorld,-0.2732,0.0,0.123,0.877,99
99,@BBCWorld,0.4404,0.132,0.0,0.868,100
0,@CBSNews,-0.2263,0.12,0.224,0.656,1
1,@CBSNews,0.296,0.155,0.0,0.845,2
2,@CBSNews,0.0,0.0,0.0,1.0,3
3,@CBSNews,0.0772,0.106,0.0,0.894,4
4,@CBSNews,0.0,0.0,0.0,1.0,5
5,@CBSNews,-0.1779,0.089,0.123,0.788,6
6,@CBSNews,-0.4588,0.0,0.15,0.85,7
7,@CBSNews,0.4404,0.224,0.12,0.656,8
8,@CBSNews,-0.3612,0.0,0.122,0.878,9
9,@CBSNews,-0.1531,0.0,0.078,0.922,10
10,@CBSNews,0.7906,0.438,0.0,0.562,11
11,@CBSNews,0.816,0.348,0.083,0.569,12
12,@CBSNews,0.5423,0.273,0.0,0.727,13
13,@CBSNews,-0.3472,0.107,0.2,0.693,14
14,@CBSNews,-0.296,0.0,0.115,0.885,15
15,@CBSNews,-0.7672,0.116,0.348,0.536,16
16,@CBSNews,0.4019,0.114,0.0,0.886,17
17,@CBSNews,-0.0516,0.0,0.074,0.926,18
18,@CBSNews,-0.3612,0.0,0.111,0.889,19
19,@CBSNews,-0.4939,0.0,0.138,0.862,20
20,@CBSNews,-0.2263,0.12,0.224,0.656,21
21,@CBSNews,0.296,0.155,0.0,0.845,22
22,@CBSNews,0.0,0.0,0.0,1.0,23
23,@CBSNews,0.0772,0.106,0.0,0.894,24
24,@CBSNews,0.0,0.0,0.0,1.0,25
25,@CBSNews,-0.1779,0.089,0.123,0.788,26
26,@CBSNews,-0.4588,0.0,0.15,0.85,27
27,@CBSNews,0.4404,0.224,0.12,0.656,28
28,@CBSNews,-0.3612,0.0,0.122,0.878,29
29,@CBSNews,-0.1531,0.0,0.078,0.922,30
30,@CBSNews,0.7906,0.438,0.0,0.562,31
31,@CBSNews,0.816,0.348,0.083,0.569,32
32,@CBSNews,0.5423,0.273,0.0,0.727,33
33,@CBSNews,-0.3472,0.107,0.2,0.693,34
34,@CBSNews,-0.296,0.0,0.115,0.885,35
35,@CBSNews,-0.7672,0.116,0.348,0.536,36
36,@CBSNews,0.4019,0.114,0.0,0.886,37
37,@CBSNews,-0.0516,0.0,0.074,0.926,38
38,@CBSNews,-0.3612,0.0,0.111,0.889,39
39,@CBSNews,-0.4939,0.0,0.138,0.862,40
40,@CBSNews,0.0,0.0,0.0,1.0,41
41,@CBSNews,-0.4404,0.0,0.146,0.854,42
42,@CBSNews,-0.4939,0.0,0.211,0.789,43
43,@CBSNews,0.0,0.0,0.0,1.0,44
44,@CBSNews,-0.3182,0.0,0.161,0.839,45
45,@CBSNews,-0.5413,0.0,0.212,0.788,46
46,@CBSNews,0.0,0.0,0.0,1.0,47
47,@CBSNews,0.1779,0.119,0.085,0.796,48
48,@CBSNews,-0.4019,0.0,0.198,0.802,49
49,@CBSNews,-0.7351,0.065,0.289,0.647,50
50,@CBSNews,0.5719,0.226,0.093,0.681,51
51,@CBSNews,-0.296,0.0,0.091,0.909,52
52,@CBSNews,-0.1027,0.074,0.093,0.833,53
53,@CBSNews,0.6369,0.366,0.0,0.634,54
54,@CBSNews,0.5574,0.205,0.0,0.795,55
55,@CBSNews,0.0,0.0,0.0,1.0,56
56,@CBSNews,0.0,0.0,0.0,1.0,57
57,@CBSNews,-0.3182,0.0,0.141,0.859,58
58,@CBSNews,0.0,0.0,0.0,1.0,59
59,@CBSNews,-0.7579,0.081,0.378,0.541,60
60,@CBSNews,-0.8143,0.0,0.304,0.696,61
61,@CBSNews,0.3612,0.116,0.0,0.884,62
62,@CBSNews,-0.4939,0.0,0.262,0.738,63
63,@CBSNews,0.0,0.0,0.0,1.0,64
64,@CBSNews,0.836,0.372,0.0,0.628,65
65,@CBSNews,0.0,0.0,0.0,1.0,66
66,@CBSNews,0.3182,0.201,0.128,0.67,67
67,@CBSNews,0.5719,0.222,0.0,0.778,68
68,@CBSNews,0.0,0.0,0.0,1.0,69
69,@CBSNews,0.1948,0.125,0.084,0.791,70
70,@CBSNews,-0.926,0.0,0.458,0.542,71
71,@CBSNews,-0.5106,0.0,0.248,0.752,72
72,@CBSNews,0.0,0.0,0.0,1.0,73
73,@CBSNews,0.0772,0.132,0.113,0.755,74
74,@CBSNews,0.0,0.0,0.0,1.0,75
75,@CBSNews,-0.3182,0.0,0.173,0.827,76
76,@CBSNews,0.5106,0.155,0.0,0.845,77
77,@CBSNews,-0.5994,0.0,0.17,0.83,78
78,@CBSNews,-0.0772,0.155,0.166,0.679,79
79,@CBSNews,-0.2732,0.113,0.169,0.718,80
80,@CBSNews,0.6249,0.221,0.0,0.779,81
81,@CBSNews,0.0,0.0,0.0,1.0,82
82,@CBSNews,-0.4019,0.0,0.184,0.816,83
83,@CBSNews,0.296,0.104,0.0,0.896,84
84,@CBSNews,-0.4767,0.076,0.165,0.759,85
85,@CBSNews,0.5106,0.155,0.0,0.845,86
86,@CBSNews,-0.9451,0.0,0.643,0.357,87
87,@CBSNews,-0.4767,0.0,0.17,0.83,88
88,@CBSNews,0.6361,0.205,0.066,0.729,89
89,@CBSNews,0.6249,0.203,0.0,0.797,90
90,@CBSNews,-0.4404,0.0,0.127,0.873,91
91,@CBSNews,0.296,0.095,0.0,0.905,92
92,@CBSNews,0.5719,0.215,0.092,0.693,93
93,@CBSNews,-0.8316,0.0,0.315,0.685,94
94,@CBSNews,0.3182,0.099,0.0,0.901,95
95,@CBSNews,0.4019,0.23,0.134,0.636,96
96,@CBSNews,0.4215,0.135,0.0,0.865,97
97,@CBSNews,-0.34,0.0,0.167,0.833,98
98,@CBSNews,0.0,0.0,0.0,1.0,99
99,@CBSNews,-0.6249,0.039,0.184,0.777,100
0,@CNN,0.0,0.0,0.0,1.0,1
1,@CNN,-0.4404,0.0,0.121,0.879,2
2,@CNN,0.7269,0.283,0.0,0.717,3
3,@CNN,0.3182,0.108,0.0,0.892,4
4,@CNN,0.0,0.0,0.0,1.0,5
5,@CNN,-0.3182,0.0,0.108,0.892,6
6,@CNN,0.0,0.0,0.0,1.0,7
7,@CNN,-0.2987,0.088,0.164,0.748,8
8,@CNN,0.0,0.0,0.0,1.0,9
9,@CNN,0.0,0.0,0.0,1.0,10
10,@CNN,0.0,0.0,0.0,1.0,11
11,@CNN,-0.5106,0.218,0.332,0.45,12
12,@CNN,-0.0516,0.154,0.162,0.684,13
